dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,cluster,label,attack_cat
1.292678,tcp,ftp,FIN,52,54,2934,3740,81.226725,31,29,17811.08594,22718.72852,11,15,25.340315,24.37966,2032.399964,67.804586,255,1861926481,1972779139,255,0.000703,0.000548,0.000155,56,69,0,0,1,0,5,1,1,4,1,1,0,7,1,0,0,0,Normal
7e-06,udp,dns,INT,2,0,114,0,142857.1409,254,0,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,10,2,4,5,4,4,0,0,0,5,4,0,1,1,Generic
1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,51,2,23,23,13,51,0,0,0,23,51,0,1,1,Generic
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.752,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,2,0,Normal
0.189998,tcp,-,FIN,10,6,1460,268,78.948199,254,252,55326.89844,9431.677734,2,1,19.378444,36.389602,1025.97562,60.734199,255,190656160,3729297770,255,0.057777,0.008046,0.049731,146,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,18,18,18,24,0,0,0,19,24,0,1,1,Generic
0.018855,tcp,-,FIN,16,18,1540,1644,1750.198894,31,29,612675.6875,658923.375,4,4,1.2362,1.077,74.172985,2.182503,255,1379963200,1384679756,255,0.000676,0.000543,0.000133,96,91,0,0,7,0,7,6,1,6,0,0,0,9,11,0,1,0,Normal
0.558848,tcp,-,FIN,10,14,794,6798,41.156091,62,252,10235.34082,90371.61719,2,4,62.094222,38.441385,3779.376221,3149.359056,255,321857326,1523280552,255,0.121613,0.058328,0.063285,79,486,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
2.020807,tcp,-,FIN,10,8,842,354,8.412481,254,252,3000.78125,1227.232422,2,1,224.534111,277.363156,14143.3215,402.60625,255,1316255462,3362912266,255,0.156175,0.077776,0.078399,84,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,1,0,Normal
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,3,7,0,1,1,Exploits
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,2,13,13,13,16,0,0,0,14,16,0,1,1,Generic
1.116946,tcp,-,FIN,16,12,880,678,24.173058,254,252,5908.969727,4455.004883,4,4,74.463064,95.465727,4190.256929,159.577438,255,3756337194,540536891,255,0.115492,0.059452,0.05604,55,57,0,0,4,1,1,1,1,3,0,0,0,1,3,0,1,0,Normal
4.674321,tcp,-,REQ,4,0,180,0,0.641804,254,0,231.049591,0.0,3,0,1558.107,0.0,2203.48675,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,20,6,19,1,1,19,0,0,0,20,19,0,1,0,Normal
0.018385,tcp,-,FIN,16,18,1540,1644,1794.941477,31,29,628338.3125,675768.25,4,4,1.2016,1.053882,73.814082,2.019408,255,113397431,119287162,255,0.000585,0.000463,0.000122,96,91,0,0,9,0,7,6,1,7,0,0,0,11,8,0,1,0,Normal
0.338244,tcp,-,FIN,16,18,1540,1644,97.562709,31,29,34152.85938,36730.88281,4,4,22.524667,19.823705,1372.88293,35.270801,255,262419480,301409797,255,0.001421,0.001231,0.00019,96,91,0,0,14,0,5,5,1,5,0,0,0,7,13,0,1,0,Normal
2.223076,tcp,pop3,FIN,54,248,2424,304406,135.397974,62,252,8564.708984,1091025.125,7,122,41.944829,8.857675,2164.253007,956.616838,255,2549301961,3192208524,255,0.030255,0.015043,0.015212,45,1227,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
1.462141,tcp,http,FIN,10,10,816,1156,12.994642,62,252,4021.499756,5695.756836,2,2,162.452333,146.060672,9914.8826,241.808078,255,1906168842,3857350311,255,0.208035,0.147593,0.060442,82,116,1,132,2,1,1,1,1,2,0,0,1,2,2,0,3,0,Normal
0.042971,tcp,-,FIN,72,74,4238,63878,3374.368754,31,29,778199.25,11731633.0,7,30,0.600746,0.579836,38.273006,40.298832,255,2241489195,96416416,255,0.000806,0.000631,0.000175,59,863,0,0,4,0,3,1,1,1,0,0,0,6,6,0,1,0,Normal
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,41,2,20,20,9,41,0,0,0,20,41,0,1,1,Generic
0.037927,tcp,-,FIN,84,86,4862,77276,4455.928293,31,29,1013525.938,16110527.0,7,36,0.452771,0.439918,23.706645,23.484981,255,1101794890,1120118547,255,0.000683,0.000527,0.000156,58,899,0,0,2,0,2,1,1,1,0,0,0,4,3,0,1,0,Normal
0.908077,tcp,-,FIN,12,8,1058,756,20.923336,254,252,8545.53125,5832.104492,3,2,82.50427,119.510289,4478.830994,185.914891,255,2802974842,3162288839,255,0.117208,0.071501,0.045707,88,95,0,0,4,1,1,1,1,1,0,0,0,1,4,0,1,1,Fuzzers
0.276434,tcp,-,FIN,10,6,484,268,54.262499,254,252,12617.83984,6482.560059,2,1,28.352667,46.543,1439.358078,68.410664,255,1519031522,2207059150,255,0.063804,0.043708,0.020096,48,45,0,0,13,1,2,2,1,2,0,0,0,2,13,0,1,1,Fuzzers
4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,3,3,3,4,0,0,0,3,4,0,1,1,Fuzzers
3e-06,pnni,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,8,14,0,1,1,Exploits
30.983368,arp,-,CON,4,4,184,112,0.225928,0,0,35.632019,21.689056,0,0,15491.436,15491.436,15491.396,15491.406,0,0,0,0,0.0,0.0,0.0,46,28,0,0,2,0,2,2,2,2,0,0,0,2,2,0,-1,0,Normal
1e-05,udp,-,INT,2,0,168,0,100000.0025,254,0,67200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,1,1,Reconnaissance
1.1e-05,unas,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,2,2,2,2,0,0,0,5,11,0,1,1,Exploits
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,45,2,41,41,17,45,0,0,0,41,45,0,1,1,Generic
3e-06,udp,-,INT,2,0,196,0,333333.3215,254,0,261333328.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,98,0,0,0,6,2,5,5,1,6,0,0,0,22,6,0,1,0,Normal
0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.712,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,2,0,Normal
8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,5,4,4,4,0,0,0,4,10,0,1,1,Exploits
0.735916,tcp,-,FIN,36,18,28032,1342,72.019087,62,252,296272.9375,13784.18164,15,5,21.026171,30.407706,1447.178639,1435.957439,255,2095547142,158429705,255,0.0,0.0,0.0,779,75,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,2,7,7,3,7,0,0,0,7,13,0,1,1,Generic
0.001785,udp,-,CON,4,4,512,304,3921.568691,31,29,1721008.375,1021848.75,0,0,0.470333,0.216667,0.659499,0.297932,0,0,0,0,0.0,0.0,0.0,128,76,0,0,9,0,5,1,1,3,0,0,0,4,7,0,1,0,Normal
0.005572,tcp,-,FIN,18,18,4232,2456,6281.406976,31,29,5738693.5,3330940.5,7,7,0.307706,0.298,16.498583,0.376021,255,1601661538,1604974605,255,0.000624,0.000501,0.000123,235,136,0,0,5,0,10,1,1,3,0,0,0,3,14,0,1,0,Normal
0.561027,tcp,-,CON,6,2,998,86,12.477118,62,252,11863.95703,613.161255,2,1,112.2054,0.003,5651.447927,0.0,255,2401018720,967212869,255,0.245893,0.16383,0.082063,166,43,0,0,5,3,1,1,1,4,0,0,0,1,4,0,1,0,Normal
6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,24,24,9,24,0,0,0,24,24,0,1,1,Generic
1.524594,tcp,-,FIN,10,10,608,646,12.462335,254,252,2875.519775,3053.927979,2,3,169.399333,152.887328,12504.34583,356.935625,255,3036981343,3191410569,255,0.142358,0.087858,0.0545,61,65,0,0,2,1,1,1,1,1,0,0,0,1,1,0,1,0,Normal
0.419858,tcp,-,FIN,10,6,2516,268,35.726364,254,252,43157.44922,4268.109375,2,1,43.966222,67.311,2321.293945,103.529813,255,3878033356,2832797526,255,0.168871,0.083294,0.085577,252,45,0,0,2,1,1,1,1,2,0,0,0,19,2,0,1,0,Normal
0.713755,tcp,-,FIN,20,20,2754,1694,54.640597,62,252,29332.19336,18045.4082,7,8,37.566051,35.041844,1795.599993,40.692301,255,277653718,3448687727,255,0.102371,0.04322,0.059151,138,85,0,0,4,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
1.272488,tcp,-,FIN,116,34,132544,2288,117.093442,62,252,826110.75,13963.19629,55,8,11.065113,37.500333,1107.237326,1871.05821,255,3436305101,2674627809,255,0.062555,0.03427,0.028285,1143,67,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
0.177298,tcp,-,FIN,10,6,756,268,84.603326,254,252,30727.92773,10107.27734,2,1,18.906889,33.905398,1002.926716,59.469437,255,1941571190,3801254046,255,0.053903,0.007764,0.046139,76,45,0,0,7,1,2,2,1,7,0,0,0,2,7,0,1,0,Normal
0.606499,tcp,-,FIN,10,6,534,268,24.732109,254,252,6344.610352,2954.662598,2,1,62.705444,102.856,3114.803907,149.447266,255,4292577288,2429090242,255,0.162343,0.092216,0.070127,53,45,0,0,3,1,2,1,1,3,0,0,0,2,3,0,1,0,Normal
4e-06,unas,-,INT,2,0,200,0,90909.0902,254,0,72727272.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,4,4,4,4,0,0,0,8,11,0,1,1,Exploits
